entry,translation,predicted_cluster
"
    (bkz: `mitoloji`)<br/>(bkz: `yunan mitolojisi`)<br/>(bkz: `sumer mitolojisi`)&#13;
  ",(see `mythology`) <br/> (see` Greek mythology `) <br/> (see` Sumerian mythology`) &#13;,0
"
    bir soylem turudur der kisaca `roland barthes`.  kurgulanmistir hersey aslinda ama normalize eder bu soylem turu yapayligini, kurgulanmisligini her kulturel isaretin. dogal gorunmeye baslar bize icinde yasadigimiz dunya. o yuzden durup bakmak gerekir soyle bir, uzun uzuuun..&#13;
  ","It is a tour that says `Roland Barthes`.Everything is in fact, but it normalizes this socializing tour artificiality, fictionalism of each cultural sign.He starts to look natural in the world we live in.So you have to stop and look at it, one, long long .. &#13;",0
"
    (bkz: `milli istihbarat teşkilatı`)&#13;
  ",(see: `National Intelligence Organization) &#13;,2
"
    netron institute of technology icin (bkz: `netron`)&#13;
  ",For Netron Institute of Technology (see `Netron`) &#13;,2
"
    (bkz: `muallimlerarası istihbarat teşkilatı`)&#13;
  ",(see: `` Inter -interrelational intelligence organization ') &#13;,2
"
    biricik enistem , onun baldizi olmaktan gurur duyarım , tum it sorunlarini danisabilecegim yegane insan , evet sinirlendiginde oralarda olmamak gerek ama sanırım bu yinede ona duyulacak sempatiyi eksiltmez...karagun dostu , guvenilir insan... bize gore karşının cocugu...
  ","The only Enistem, I am proud to be his sister -in -law, I can consult all the problems of all the problems, yes when you get angry, but I guess this does not decrease the sympathy to him ... Karagun friend, trustworthy person ... According to us ...",1
"
    kredi karti slipleri ile unlu insan...
  ",Baked people with credit card slips ...,1
"
    ... alinti:<br/><br/>""yaratiklar icinde en cok aci ceken yaratik insan, cunku olumun bilincine varmis tek yaratiktir. bir karanliktan gelmis, bir karanliga gidiyor. o iki karanlik arasinda, hayatinin anlamsizlastigi anlarda mitler yaratiyor. `mit` olmasa geberip gider, intihar eder. kendine bir dunya yaratiyor, oraya siginiyor. kendi yarattigi dunya kurtariyor insani.""<br/><br/>(bkz: `homeros`)&#13;
  ","... Alint: <br/> <br/> ""The most painful creator in the creatures is the only creature that has reached the consciousness of death. It comes from a darkness, it goes to a darkness.If not MIT, he would go and go. He would commit a world to himself, he creates a world. He saves his own world.",0
"
    gunumuzde uydurulmus masallar olarak bilinen, cagdas bilimle aciklanamadigi icin yalanlanan kavramlardir. bir yandan bazi psikolog ve antropologlar mitolojinin insanin psikolojik ve tinsel gelismelerinin temelinde yatan bazi sembolik degerlerden olustugunu dusunuyorlar. (bkz: `jung`)<br/><br/>mitler evrensel gecerlilige sahip ruyalardir. tipki bir insanin gordugu ruya onun bilincalti ile ilgili cok onemli ipucular iceriyor ise, mitler de oyledir. psikolojik acidan icsel bir yolculuk gibidir. (bkz: `kutsal kap`)&#13;
  ","The concepts that are known as fairy tales that have been fabricated in our day are the concepts that are denied because Cagdas cannot be explained by science.On the one hand, some psychologists and anthropologists think that mythology consists of some symbolic values that lie under the basis of human psychological and spiritual development.(see `jung`) <br/> <br/> Myths are the dreams with universal validity.If a dream of a person sees a very important clues about his consciousness, the myths are also.It is like a travel of psychological pain.(see: `Holy Cap`) &#13;",0
"
    (bkz: `ibrahim gümüş`)&#13;
  ",(see: `` `` `` `` ``) &#13;,2
"
    (bkz: `nihat berker`)&#13;
  ",(see: `Nihat Berker`) &#13;,2
"
    evreni açıklama ihtiyacına dayanan geleneksel bir öyküdür.
  ",It is a traditional story based on the need for explaining the universe.,0
"
    mitolojinin kısaltması
  ",abbreviation of mythology,0
"
    music interface technologies. amerikan orjinli hi-end kablo ureticisi.
[http://www.mitcables.com/ http://www.mitcables.com/]
","Music interface technologies.American Origin Hi-End cable producer.
[http://www.mitcables.com/ http://www.mitcables.com/]",1
"
    tarih öncesine dayanan `efsane`
",`legend` dating back to date,0
"
    (bkz: `ümit/#9825045`)&#13;
  ",(see: `hope/#9825045`) &#13;,2
"
    ""a myth is a religion in which no one any longer believes.""<br/>`james feibleman`
","""",1
"
    aynı zamanda bir zemin sınıflandırma sistemi.
  ",also a floor classification system.,1
"
    (bkz: [http://www.memurlar.net/haber/63920/ http://www.memurlar.net/haber/63920/])
  ",(see [http://www.memurlar.net/haber/63920/ http://www.memurlar.net/haber/63920/]),1
"
    ks. mansur ipek ticaret
  ",KS.Mansur İpek Ticaret,1
"
    massachusetts ınstitute of technology.<br/>`abd`' nin `massachusetts` eyaletindeki `boston` sehri yakininda olan, ozellikle de bilim ve muhendislik  alanindaki carpici basarilariyla taninan bir universite.  hatta oyle ki; `nobel odulu` ' nu alanların sayisi 61' e ulasmıstır. gayet unlu mezunları mevcuttur. misal;<br/><br/>. `kofi annan`<br/>. `buzz aldrin`
",Massachusetts Institute of Technology.Even that;The number of fields `Nobel Award` reached 61.very bakery graduates are available.For example; <br/> <br/>.`Kofi Annan` <br/>.`Buzz Aldrin`,1
"
    bir topluma ya da kültüre ait olağanüstü ve doğaüstü bir niteliğe sahip olan bir olayın soyut ve sembolik hikayesi.<br/>efsane de denilen mitler kuşaktan kuşağa çoğunlukla sözlü olarak iletilen dinsel ya da doğaüstü öykülerdir.&#13;
  ",The abstract and symbolic story of an event that has an extraordinary and supernatural quality of a society or culture.,0
"
    heredot'a göre tarihi değeri olmayan güvenilmez söylenti ; platon'a göre, gerçeklerle ilişkisiz, uydurma ve boş masal...bana göre de inanç sorununa bağlı olarak, özellikle de çok ve boş tanrılı dönemleri işleyen,hayal gücü bakımından zengin, yalanı dolanı karın ağrısına sebep olabilecek kadar pembe dizi tadı  veren vak'alar silsilesi...
  ","According to Heredot, it was unreliable rumor without historical value;According to Plato, unrelated to the facts, fabricated and empty fairy tale ... In my opinion, depending on the problem of faith, especially the very and empty god periods, rich in imagination, licking lies to the pink series that can cause abdominal painalar sequence ...",0
"
`ernst cassirer` mitleri ortadan kaldırmaya felsefenin gücünün yetmeyeceğini çünkü mitlerin yıkılabilir şeyler olmadığını üstelik bu mitlerin inkar da edilemeyeceğini söyler. kısaca mitlerin dünyası, akıl ilkelerinin geçerli olmadığı bir dünyadır. <br/>`ursula k. le guin` de böyle düşünür. ""bilimkurguda mit ve arketip"" adlı yazısında `jung`'u esas alarak sembolün indirgenemez olduğunu, bilinç ile bilinçdışının telafi edici, karşılıklı olarak yaratıcı bir ilişki de bulunduğunu belirttikten sonra bir yerde söyle der:<br/><br/>"" mit, insanın vücut/ ruhun, dünyayı algılama, anlama ve ilişki kurma yolarından birinin ifadesidir. bilim gibi mit de, insanın temel idrak tarzının bir ürünüdür. mitin yerini soyut ya da nicel bilişin alabileceğini iddia etmek, insanın potansiyel ya da ideal olarak saf bir akıl yaratığı, vücutsuz zihin olduğunu söylemektir. zamanın akışı içinde yüzen küçük saf akıl kabarcıkları olsak bu hoş bir şey olabilirdi, ama durum öyle değil. biz rasyonel varlıklarız, ama aynı zamanda duıyuları ve iştahları olan, duygusal, etik varlıklarız; gereksinimler bizi harekete geçiriyor ve aklın tek başına sağlayamayacağı tatminler peşinde koşuyoruz. bu diğer varlık tarzları işe yaramadığı zaman, akıl geçerlidir. akıl işe yaramadığı zaman ise diğer tarzlardan biri işi devralır; eğer vücutsuz kabarcıklar değilsek, aklın geçerli olmadığı durumlar mutlaka olacaktır. mit, mitolojik içgörü, bu tarzlardan biridir. kendi işlev alanında o kadar etkilidir ki, yerine bir şey koymaya gerek yoktur. yalnız çağdaş bilimciliğin şizoid kabalığı mitin yerine bir şey konulması gerektiğini iddia eder, bu iddiayı söndürmek ise pek kolaydır. örneğin, güneş'in doğası ve davranışına dair bilimsel anlayışımız, apollo'nun ilginç cinsel yaşamını ya da müzik ve kutsal uyum tanrısı olarak rolünü, bırakalım geçersizleştirmeyi, açıklayabilir mi? <br/>hayır, bilimin bunlarla hiç bir ilgisi yoktur; seksle müzikle, uyumla ya da kutsallıkla hiç bir ilgisi yoktur bilimin; zaten bilim olarak da böyle bir iddası yoktur- iddiada bulunan bilimciliktir. <br/>apollo güneş değildir, hiç bir zaman da olmadı. aslında güneş, apollo'nun adlarından 'yalnızca' biridir.""&#13;
  ","He says that the power of philosophy cannot be enough to eliminate the myths `ernst cassirer, because the myths are not destructive things and that these myths cannot be denied.In short, the world of myths is a world where the principles of reason are not valid.<br/> `ursula k.He thinks like that in Le Guin.In his article titled ""MIT and Archetype in Sci -fi"", he says that the symbol is irreversible, consciousness and consciousness and a compensationful, mutual creative relationship, and then say it in a place: <br/> <br/> MIT, MIT,It is the expression of one of the people of human body/ soul, perceiving, understanding and relationships. Like science, MIT is a product of the basic way of understanding of man. To claim that abstract or quantitative cognition can be replaced by a potential or ideal pure creature of human beings,It is to say that there is a mind without body. If we were the small pure mind bubbles floating in the flow of time, it could have been a nice thing, but the situation is not so. We are rational assets, but the moon",0
"
    iki uc saniye bakildiktan sonra cozulen bir tshirt yazisi.<br/><br/>e/c^2.......root(-1).......pv/nr&#13;
  ",A tshirt lettering after two three seconds. <br/> <br/> e/c^2 ....... root (-1) .......,1
"
`muttalip institute of technology`

(bkz: `iki eylül kampüsü`)<sup class=""ab""><a title=""(bkz: anadolu üniversitesi iki eylül kampüsü)"" href=""/?q=anadolu+%c3%bcniversitesi+iki+eyl%c3%bcl+kamp%c3%bcs%c3%bc"" data-query=""anadolu üniversitesi iki eylül kampüsü"">*</a></sup>

(bkz: `züğürt tesellisi`)
  ","`Muttalip Institute of Technology

(see `` Eylül Campus') <SUP Class = ""Ab""> <a Title = ""(see Anadolu University Two September Campus)"" HREF = ""/? Q = Anatolia+%C3%BCN University%BCL+camping%C3%BCS%C3%BC ""Data-Query ="" Anadolu University Two September Campus "">*</a> </a> </a>

(see: `züğürt consolation`)",1
"
    toplum içerisinde bilinmeyen zamanlarda doğan ve tarihi akışı içinde genişleyerek yayılan; dünyanın yaratılışı, insanların ve diğer canlıların varoluşları hakkında toplumun ortak inancını ve düşüncesini ortaya koyan anlatılardır.
  ",It is born in unknown times in the society and expanded by expanding its historical flow;The creation of the world is the narratives that reveal the common belief and thought of society about the existence of people and other living things.,0
"
    yarı doğru bir kurgu ya da gerçek, özellikle bir fikrin parçası.
  ","A semi -correct fiction or truth, especially part of an idea.",0
"
    kaynağı bilinmeyen, belli bir öykü formatında, mantıksız ve çoğu yaratılma, var olma ve kader (geçmiş veya gelecek) üzerine olan tüm anlatılara ve yazıya geçirilmiş olan metin türleridir. efsane ile mit arasında hemen hemen hiçbir belirgin ayrım bulunamaz.<br/><br/>dünya üzerinde bilinen mitlerin içeriğini ve işlevlerini açıklamaya, sınıflandırmaya çalışan dört ayrı görüş/ekol bulunuyor:<br/><br/>işlevsel ekol: mitlerin toplumu açıklamaya çalıştığını savunur. mitler, toplumu ve onun meydana gelmesini sağlayan doğa ve doğa güçlerini insanın açıklamaya ihtiyacından ortaya çıkmıştır.<br/><br/>psikolojik ekol: freud (her zamanki gibi) mitlerin bilinçaltının ürünleri olduğunu söyler. tıpkı rüyalar gibi mitler de bastırılmış isteklerin, gizli ihtirasların yüzeye yansıyan görüntüleridir. jung ise mitleri `kolektif bilinç` teorisi ile açıklar. jung'a göre dünya üzerinde yaşayan herkes bilinçaltında aynı tip sembolleri taşır. pek çok toplulukta görülen birbirine benzer ritüellerin, hikayelerin, korku ve/veya beklentilerin kaynağında bu semboller yer alır. mitlerin kaynağı da bu sembollerdir. levi-strauss ise mitlerin insan beyninin yapılarını gösterdiğini savunur. insanın düşünce sisteminin, zihinle kavranabilen tüm yaratılarının temel aynasıdır mitler.<br/><br/>dinsel ekol: mitleri metafizik bir yaklaşımla ele alır. bu ekol mitlerin insanın inanma ihtiyacı/dürtüsünden çıktığını savunur. mitler aracılığı ile din evrenselleşir. mitlerin dili mistik ve şifreli olduğundan çok az sayıda insan bu mitlerdeki gerçeği bilebilir/anlayabilir.<br/><br/>sembolik ekol: her bir mitin diğerinden farklı bir sembol ve form olduğunu söyler. daha doğru bir kavrayışa ulaşmak için bütün mitleri tek tek ele alıp, her birini diğerinden ayrı incelemeye tabi tutmayı savunur. bu ekolün görüşlerinden bir tanesi de mitleri aktaran kişilerin kendi hayat görüşünün ve bilgisinin aktardığı miti sınırlandırabileceğidir. yani bu kişilerin miti orjinal haliyle, eksiksiz ve tüm bilgileriyle aktardığından hiçbir zaman emin olunamaz.&#13;
  ","In a certain story format that is unknown, unreasonable and most of them are the types of texts and most of the texts on all narratives and fate (past or future).There are almost any significant distinction between the legend and the MIT.He argues that he is trying to explain.Myths have emerged from the need to explain the society and the forces of nature and nature that enables its formation.Just like dreams, myths are the images of repressed demands and hidden ambitions on the surface.Jung explains myths with the theory of `collective consciousness'.According to Jung, everyone living in the world carries the same type of symbols subconsciously.Similar rituals seen in many communities, story",0
"
    kendisine evrensel hakikat, yarılmamışlık, bütünlük gibi fantaziler atfederek kendi muhtevasını tanımlayıp, sınır çizer. mit, eklem yerinden çıkan söylemi yamalar, üstünü örter. yoksulluğun üstünü kapatmaya yarayan yamalardan. sınıfsız, imtiyazsız bir kitleyi kaynaştırır. yeni bir nesnellik, hegemonya oluşturmak gibi mukaddes bir vazifeyi ifa eder. mit, gerçekliğin tahrif edilmiş temsilidir, fakat bu tahrifat insan türünün varoluşu (anlam-eylem) için yeni bir ufuk tesis etmesinden ötürü kurucudur.
  ","He defines his own content and draws a boundary by attributing fantasies such as universal truth, unfamiliarity and integrity.The MIT covers the discourse from the joint, the patch, covering it.from the patches to cover poverty.It fuses a classless, privileged audience.A new objectivity performs a sacred duty, such as creating hegemony.MIT is a falsified representation of reality, but this distortion is the founding of the establishment of a new horizon for the existence of human species (meaning-educational).",0
"
    (bkz: `milli itfaiye teşkilatı`)&#13;
  ",(see: `National Fire Brigade Organization) &#13;,2
"
    mitler, hayal güçü onları canlı tutsun diye vardır. `albert camus`
",Myths have imagination to keep them alive.`Albert Camus`,0
"
    ks. `melbourne institute of technology`<br/>ks. `machakos institute of technology`<br/>ks. `madras institute of technology`<br/>ks. `maebashi institute of technology`<br/>ks. `maharaja institute of technology`<br/>ks. `maharashtra institute of technology`<br/>ks. `manipal institute of technology`<br/>ks. `manukau institute of technology`<br/>ks. `mapúa institute of technology`<br/>ks. `marathwada institute of technology`<br/>ks. `royal melbourne institute of technology`<br/>ks. `milwaukee institute of technology`<br/>ks. `muroran institute of technology`<br/>ks. `musashi institute of technology`<br/><br/>""bizde niye `malatya institute of technology` yok diyor.""&#13;
  ","KS.`Melbourne institute of technology` <br/> ks.`Machakos Institute of Technology` <br/> ks.`Madras Institute of Technology` <br/> ks.`Maebashi Institute of Technology` <br/> ks.`Maharaja institute of technology` <br/> ks.`Maharashtra institute of technology` <br/> ks.`Manipal institute of technology` <br/> ks.`Manukau institute of technology` <br/> ks.`mapúa institute of technology` <br/> ks.`marathwada institute of technology` <br/> ks.`Royal melbourne institute of technology` <br/> ks.`Milwaukee institute of technology` <br/> ks.`MURORAN INSTITUTE OF TECHNOLOGY` <br/> ks.`Musashi Institute of Technology` <br/> <br/>"" Why do we say `` Malatya institute of technology. ""&#13;",1
"
    (bkz: `türkiye mossad'ı`)&#13;
  ",(see: `Türkiye mossad) &#13;,2
"
    aslinda massachusetts'in cambridge sehrindedir. boston'da degil.
  ","In fact, Massachusetts is in Cambridge.Not in Boston.",1
"
    m.i.t. şeklinde ingilizce okunduğunda sesdeş olarak ''am i tea ?'' ''ben çay mıyım?'' olarak algılanabilen harfler birlikteliği.
  ",myth.When read in English as a sesteş '' am i only? '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '.,0
"
    ""kimlik bunalımı yaşayan çayların gittiği okul"" denirdi.
  ","""The school where the teas that experienced identity crisis go"" was called.",1
"
    dünyanın en ünlü teknik üiversitesi
  ",The most famous technical university in the world,1
"
    internet sitesinin artık almanca, arapça, fransızca, rusça sürümü var.
  ","The website now has German, Arabic, French, Russian version.",1
"
    halkın sesine kulak veren tek devlet kurumu. hatta fazla dinleyip sizi merak edebilir, kapınıza bile gelebilirler. tabi ki sadece sizin için.
  ","The only state institution that listened to the voice of the people.They may even listen to you and wonder, they can even come to your door.Of course only for you.",1
"
    (bkz: `meraklı insanlar teşkilatı`)&#13;
  ",(see: `` Curious People's Organization ') &#13;,2
"
[http://ocw.mit.edu/ ocw mit] adresinden bir cok dersin videosunu izleyebileceginiz bilim yuvasi.
  ",[http://ocw.mit.edu/ ocw mit] you can watch the video of a lot of course.,1
"
    bazen bir nick de olabilmektedir..
  ",Sometimes it can be a nick.,1
"
    (bkz: `levent mit`)&#13;
  ",(see: `levent mit`) &#13;,2
"
    mircea eliade'e göre mitlerin amacı ilahi gücü elde etmektir. her yaradılış dünyanın ilk yaradılışını temsil eder. temelini dünyanın merkezinde bulur.
  ","According to Mircea Eliade, the purpose of myths is to obtain divine power.Each creation represents the first creation of the world.finds its foundation in the center of the world.",0
"
    ambargo yüzünden iran'la gizli gizli yapılan altın ticaretinde ne konumda olduğunu merak ettiğim istihbarat teşkilatı... malum başbakanımıza göre cia ve mossad'ın fink attığı bu konuda bizim güzide teşkilatımız ne yapıyordu çok merak ediyorum...
  ","Intelligence organization, which I wonder what it is in the gold trade of the golden trade with Iran because of the embargo ... According to the Prime Minister, Cia and Mossad fink threw this issue on this issue.",1
"
    bu sıralar yapacağı tüm operasyonlardan neredeyse tüm dünyanın anında haberi olan kurum.<br/>(bkz: `milli information table`)&#13;
  ",The institution that is instantly aware of all the operations of all the operations it will do at this time. <br/>,1
"
[http://t24.com.tr/haber/8-ay-onceki-mit-raporu-bakanlarin-zarrabla-iliskisi-ortaya-cikarsa/247680 http://t24.com.tr/…a-iliskisi-ortaya-cikarsa/247680]

devletin çıkarlarını değil, artık ak partinin çıkarlarını kollayan kurum olmuş. resmi rapor yolluyorlar başbakana, ilişkiler ortaya çıkarsa parti zor durumda kalır. vay anam vay, neler dönmüş ya.
  ","[http://t24.com.tr/haber/8-ay-onceki-mit-raporu-bakans-cikarsa/247680]

Not the interests of the state, but now the AK Party's interests have been the institution.They send an official report to the Prime Minister, if relations arise, the party will be in a difficult situation.wow, wow, what's going on.",1
"
    1 hafta icerisinde silah dolu bir tir ve iki otobus yakalatmis kurumdur. kendilerini tebrik ediyorum. <br/><br/>allahtan istihbarat.&#13;
  ","In 1 week, a weapon is full of weapons and it is the institution that has caught two buses.I congratulate them.<br/> <br/> Allahtan intelligence. &#13;",1
"
    insani yardımdan sorumlu devlet kurumu.
  ",State Authority Responsible for Humanitarian Aid.,1
"
    mit ne halt ettiğini anlamadığım kurum.<br/><br/>1-diyarbakır'da sırtında bomba yüklü olarak emniyete girmeye çalışırken yakalanan pkk'lının mit elemanı çıkması. <br/><br/>2-istanbul'da belediye otobüsüne molotofkokteyli atıp yakalanan kck üyesinin mit elemanı çıkması. molotoflama eylemlerinden birinde serap eser isimli genç bir kız hayatını kaybetmişti. <br/><br/>3-van'da pkk kırsalı için eleman toplayıp dağa gönderen ve 20 kişinin örgüte katılmasını sağlayan kck'lının mit elemanı çıkması. <br/><br/>4-istanbul'da emniyet amiri semih balaban'ın şehit düştüğü devrimci karargâh operasyonunda ölü ele geçirilen orhan yılmazkaya'nın kandil'e geçişini sağlayan kişinin mit'le bağlantısı. <br/><br/>5-mersin'de onlarca eylemin tertipleyicisi olan ve pek çok terör eylemine karışan kck sorumlusunun mit elemanı çıkması. <br/><br/>6-mit'in öcalan-kandil arası haber (talimat) taşıması sonrasında yapılan eylemlerde şehit olan onlarca asker ve polisimiz... <br/><br/>bu istikrarlı tablo, normal bir istihbarat ve sızma faaliyetini değil mit'teki bazı unsurların terör örgütünü bizzat yönettiğini veya kck/pkk'nın mit'i yönettiğini gösteriyordu.soruşturulan konu oslo görüşmeleri değildi anladınız mı?ve mit yönetimi tüm bu olaylarda devreye girip ""bizim elemanımız"" diyerek serbest bırakılmaları için girişimde bulunuyordu. istihbarat kılıfına gizlenmiş vahim suç tablosu soruşturulmayacaksa, hiçbir cinayeti soruşturmanıza gerek yoktur. hukuku askıya alarak oğlunu savcılığa ifade vermeye bile göndermeyen bir başbakanın olduğu bu ülkede, hiçbir kamu görevlisinin serap eser'in ailesine gidip ""kızınızı devlet görevlisi yaktı ama görev icabıydı"" deme lüksü yoktur. zira saha ajanı, haber almak için örgüte sızsa da hiçbir şekilde ülkesi ve milleti aleyhine suç işleyemezdi. ve bugün kck bölgedeki tüm il ve ilçelere silahlı yerleşimini tamamlamış, milislerini hazırlamış durumda. bunların hesabının mutlaka sorulacağı konusunda kuşkum yoktur.<br/><br/>en azından kck/pkk bölgede tek taraflı statü ilanı yapıp türkiye'yi oldubittiyle karşı karşıya bıraktıktan sonra.<br/><br/>-----alıntıdır-----&#13;
  ","MIT I do not understand what the institution.<br/> <br/> 2-MOLOTOFKOKTEYLİ KCK member who was caught in the municipal bus in Istanbul.A young girl named Serap Eser died in one of the Molotovlama actions.<br/> <br/> 3-VAN'da PKK rural staff to collect and send to the mountain and 20 people to participate in the organization of the KCK'li MIT element.<br/> <br/> 4-Istanbul Police Chief Semih Balaban was killed in the revolutionary headquarters operation of the dead seized Orhan Yılmazkaya'nın Kandil's connection with the MIT.<br/> <br/> 5- MIT element of KCK responsible for many terrorist acts of the actors of dozens of actions in Mersin.<br/> <br/> 6- Dozens of soldiers and police martyrs who were martyred in the actions carried out after the mortar of Öcalan-Kandil news (Instruction) ... <br/> <br/> This stable picture, normal B",1
"
    (bkz: `milli istihbarat taşımacılığı`)&#13;
  ",(see: `National Intelligence Transportation`) &#13;,2
"
    (bkz: `#39807334`)&#13;
  ",(see: `#39807334`) &#13;,2
"
    teröre silah ve finansman sağladığı açık olan teşkilat. biliniyor ve hiçbir şey yapamıyoruz. ulan biz milli irade değil miyiz amk? elimizden bir bok gelmiyor. istemiyorum kardeşim benim ülkemin komşu ülkeye silah vermesini ve bunu el kaide'ye vermesini.
  ",The organization that provides weapons and financing to terrorism.It is known and we can't do anything.Are we not national will?We don't shit.I don't want my brother to give my country a gun to the neighboring country and give it to Al Qaeda.,1
"
    inanin ogrenmek icin soruyorum, bir cok yerde gordum hakan fidan israillileri cildirtti yok mit mosadi bitirdi yaziliyor ondan soruyorum. tam olarak neler oldu da ben kacirdim. arap bahari oldu turk firmalari is kaybettigi gibi bolgede temasi da kalmadi, teror tekrar tirmandi son senelerde (baris sureci demeyin bana ayrica tartisalim) komsu ulkelerle sorunumuz olmayan yok zaten. bunlar tabi ki mitin sucu degil ama basari olarak bana bir sey soyleyin. madem bu yukarda saydiklarim dis mihraklarin isi bu sirada mit neler yapti. dis ulkelerde karisiklik cikartip turkiye´ye fayda mi sagladilar. bombalama olaylarini haber alip engellediler mi ? cok samimi soyluyorum kahve agziyla konusmadan biri bana aciklasin ne yapti bu adamlar.<br/><br/>simdi aranizdan cikip bunlar gizli isler sen nerden bilecen diyen olursa, ben de sen nerden biliyon diye sorarim. madem gizli diyorsun ben de diyorum ki mit rezil oldu itibari kalmadi, kaynak istersen de gizli isler bunlar diyecegim.&#13;
  ","Believe me to learn, I see in many places Hakan Fidan Israelis Cilirdti does not do not myth mosadi finished.exactly what happened and I missed it.The Arab Bahari was the Turkish companies, as well as lost their contacts in the region, Teror was again climbing again in recent years (do not call me at peace process) we have no problem with the neighboring countries.These are of course not the crime of myth, but as a success, tell me something.If this is the work of the outbreaks that I mentioned above, what has done the myth during this time.They have benefited to Turkey in external countries.Did they inform and block the bombing events?I say very sincerely to the coffee mouth without talking to me what you have made these guys.If you say secretly, I say that the myth was disgraced, and if you want to source, I will say that these are hidden works. &#13;",1
