entry,translation,predicted_cluster
"
    bu kitap insanın üzerinde öyle bir etki bırakır ki, neredeyse 20 yıl sonra bile aynı duygu yoğunluğunu yaşadığınızı görürsünüz. <br/>yazılmış en güzel edebiyat eserlerinden biridir. muhtemelen de en güzel savaş karşıtı kitaptır.<br/><br/>bugün eski ajandalarımı karıştırırken lise yıllarımdan kalma bir tanesi elime geçti.<br/>günlük gibi demeyeyim de, daha çok o dönemlerde okuduğum, izlediğim şeylerle ilgili izlenimlerimi yazmışım.<br/>kimi zaman da doğrudan okuduğum kitaplardan alıntılar yapmışım.<br/>ajandadaki ilk iki alıntı `erich maria remarque`'ın bu ölümsüz eserinden. bunları okuduğumda ister istemez o yıllara bir yolculuk yaptım. <br/><br/>alıntılar şunlar:<br/><br/>--- `spoiler` ---<br/><br/>""asker ateş altında kendini boylu boyunca yere attığı zaman, ölüm korkusuyla yüzünü toprağa bastırıp, ellerini ayaklarını yere geçirdiği anda toprak onun biricik arkadaşı, kardeşi, anasıdır. asker korkusunu ve iniltisini toprağın sessizliği ve güvenliği içinde dindirir. toprak onu bağrına basar, ona yeniden can verir. bu yeni hayatın süresi bazen birkaç saniyeciktir. sonra bir bomba düşer... ve o zaman da toprak kollarını askere sonsuzluklar boyunca açar.""<br/><br/>diğeri de şu şekilde :<br/><br/>""18 yaşındaydık. tam yaşamaya ve dünyayı sevmeye başlamıştık ki bizi dünyayı yok etmekle görevlendirdiler. ilk bomba bizim yüreğimizin içinde patladı. çalışma, çaba, ilerleme dünyasıyla ilişkimiz kesildi. böyle şeylere inanmaz olduk. biz yalnızca savaşa inanıyoruz artık.""<br/><br/>--- `spoiler` ---<br/><br/>sözün özü, şu kitap dünyada ne kadar çok insana hakkıyla okutulursa o kadar az savaş çıkacağına inanıyorum.&#13;
  ","This book has such an impact on man that you will see that you have experienced the same intensity of emotion even after 20 years.<br/> is one of the most beautiful literary works written.Probably the most beautiful anti -war book.BR/> Sometimes I quoted directly from the books I read.When I read them, I inevitably made a journey to those years.<br/> <br/> quotes: <br/> <br/> --- `SPOILAR` --- <br/> <br/>"" When the soldier threw himself on the ground under fire, his face with fear of deathWhen he presses the soil and puts his hands on his feet on the ground, the earth is his only friend, brother, mother. He relieves the fear and moan of soldiers in the silence and security of the soil.",0
"
`erich maria remarque`'nin savaşın kazananı olmayacağını ve katılan herkes için yıkım olduğunu anlatan hacmi az etkisi ağır kitabı. savaşın kendisiyle ilgilidir; savaşın nedenleriyle, kimin başlattığıyla veya kimin kazanmış sayıldığıyla bile pek ilgilenmez. zaten gerek de yoktur. gencecik çocuklar çoktan kaybetmiştir savaşı.<br/><br/>--- `spoiler` ---<br/><br/>hastanede ölmek üzere olan arkadaşının başında, o öldükten sonra postalını onunkiyle değiştirmeyi düşünmektir biraz bu kitap. onun postalları daha iyi durumdadır, ve hayatta kalanın ihtiyacı olacaktır. savaşta, normal hayatta sahip olduğunuz iyi özelliklerin yeri yoktur, o yüzden hayatta kalmayı başaranlar da insanlığını kaybetmiştir.<br/><br/>--- `spoiler` ---<br/><br/>bir de devamı vardır, `der weg zurück` (the road back, bire bir devam değildir. ama ilk kitaptaki karakterlere selam yollanır ve ilk kitabın sonunda paul'ün düşündüklerinin gerçek hayattaki yansımasını hikayeleştirir).<br/><br/>kitap yayınlandıktan sonra bir çok ülkede yayınlanmış ve remarque'nin `nobel` adaylığı dillerde dolaşmaya başlamış ancak yükselen `nasyonal sosyalizm`, kendisini bir anda istenmeyen kişiye dönüştürmüş ve o dönemde her iki kitabı da yakılmış, ve yasaklanmıştır. zaten 2. dünya savaşının çıkmasına yakın remarque de almanya'yı terk edecektir.<br/><br/>(`paul baumer` kitapta anlatıcıdır, cephede başlarına gelenleri ve savaş öncesini anlatır. cephedeyken okulda onları savaşa gönüllü olmaları için gaza getiren öğretmenlerini hatırlar, `kantorek`'di galiba. işte kitapta en çok ondan nefret etmiştim.)&#13;
  ","`Erich Maria Remarque` will not be the winner of the war and the destruction for everyone who participated in the volume of a heavy influence.It is about the war itself;He is not even interested in the reasons of the war, who started it or who is considered to have won.There is no need anyway.Young children have already lost the war.His posts are better, and the survival will need.In the war, there is no place for good features you have in normal life, so those who survive has lost humanity.`der Weg Zurück` (The Road Back is not one -on -one. But greetings to the characters in the first book and storytelling the real life reflection of Paul's thoughts at the end of the first book.",0
"
    şimdiye kadar okuduğum romanlardaki en baba karakterlerden biri olan katzinsky'nin yer aldığı roman. bu şahıs romanın hikayesini ağzından dinlediğimiz gence her türlü abiliği yaptı. yeri geldi mermilerden sakınmayı öğretti, yeri geldi açlıktan kırıldıkları bir gece vakti ıssız bir yerde iki kaz ve bir somun ekmek buldu. kurgu da olsa tam bir hayat adamı ve gedikli asker olan katzinsky'nin savaş ortamında verdiği güven ve destek beni çok etkilemişti. tabi bunda romanı okuduğumda 9 yaşında olmamın ve bir abimin olmamasının da etkisi olabilir. sonradan başka kaynaklarda okuduğuma göre bu silah arkadaşlığı birçok alman gencinde de aynı duyguyu uyandırmış ve erich amcamın arzusunun tam aksine orduya katılmalarını sağlamış.
  ","Katzinsky, one of the most father characters in the novels I have read so far.This person made all kinds of ability to the young man we listened to the story of the novel.The place came to avoid the bullets, the place came to hunger a night in a deserted place in a deserted place found two goose and a loaf of bread.The trust and support given by Katzinsinsky, a man of life and a breaker soldier, even though fiction, had impressed me.Of course, when I read the novel in this, I am 9 years old and I don't have a brother.Later, I read in other sources, this weapon friendship aroused the same feeling in many German young people and enabled them to join the army, contrary to my uncle Erich's desire.",0
"
    ""yaşar kemal 20. yüzyılın romanını seçti""

[http://www.ntvmsnbc.com/id/25227109/ http://www.ntvmsnbc.com/id/25227109/]
","""Yaşar Kemal chose the novel of the 20th century""

[http://www.ntvmsnbc.com/id/25227109/ http://www.ntvmsnbc.com/id/25227109/]",0
"
    yaşar kemal tarafından yüzyılın romanı olarak tescillenmiş erich maria remarque romanı. <br/><br/>özetinin özeti: savaşa hayır!&#13;
  ","Erich Maria Remarque, which was registered by Yaşar Kemal as the novel of the century.<br/> <br/> Summary of the Summary: No to War! &#13;",0
"
    bir insanın elinden çıkabilecek en vurucu yapıtlardan birisi diyebilirim batı cephesinde yeni birşey yok için. anlatımını akıcı ve samimi gibi sıradan sözlerle nitelemek yetersiz geliyor bana, sanırım en iyisi mideye oturan yumruk gibi birşey demek. kitaptaki tüm karakterler gerçek hayattan birer kimseler, çoğunluğu henüz çocuk yaşta ve ne yazık ki savaş onlar için yaşam anlamına geliyor.<br/>savaş meraklısı; milliyetçisi olsun sosyalisti olsun güç ve yetki sahibi olanlara bu kitabı okutturup masum insanları (ki çoğunluğu askerlik çağını kapsayan genç yaştakileri) savaşa göndermeden önce bir kez daha bazı şeyleri düşünmelerini kendilerinden istesek ne olurdu acaba? insanları savaşa göndermek yerine kendileri de en azından savaş alanının meydanında yer alsalar? kitapta kayzerin askerleri görmeye geldiği bölümden sonra erlerin savaş üzerine tartışmaları kafası bir şey basmayanlara okutulması gereken cinsten.<br/>istediklerimi tam olarak yazamadım bu kitap üzerine, ancak hala okumadıysanız okunacaklar sırasında en üste yerleştirin `batı cephesinde yeni birşey yok`'u.&#13;
  ","One of the most striking works that can come out of a person can say that there is nothing new on the western front.It is insufficient to characterize his narrative with ordinary words like fluent and sincere, I think the best is something like a fist sitting in the stomach.All the characters in the book are real -life people, the majority of them are still children, and unfortunately the war means life for them. <br/> War enthusiast;What would it be if we wanted them to think about some things once again before they read this book to those who have power and authority, or who have the socialist, and to send them to the war once again?Instead of sending people to war, they themselves are at least in the square of the battlefield?In the book, after the chapter of the Kayzer came to see the soldiers, the arguments of the soldiers on the war should be taught to those who do not press anything. <br/> I could not write exactly what I wanted, but still did not read",0
"
    askerdeyken okuduğum, savaş karşıtı mükemmel kitap. keşke kütüphaneye bıraksaydım da erat faydalansaydı.
  ",The perfect book against the war I read when I was in the military.I wish I left it to the library and Erat would have benefited.,0
"
    hayatımda okuduğum en çarpıcı, en gerçek, en savaş karşıtı ve savaşın manasızlığını en iyi anlatan savaş romanı. gerçekten her yönüyle muhteşem. böyle çarpıcı olmasını beklemiyordum. <br/><br/>--- `alıntı` ---<br/><br/>""ben gencim, yirmi yaşındayım; ama hayat namına ümitsizlikten, ölümden, korkudan, bomboş bir sathiliği ıstırap uçurumlarına zincirlemekten başka bir şey bildiğim yok. milletlerin birbirine karşı itildikleri; susarak, cahilce, delice, uysal ve masum birbirlerini öldürdüklerini görüyorum. dünyanın en zeki kafalarının, silâhları ve sözleri, bu işleri daha ustaca yapmak, daha devamlı kılabilmek için icadetmiş olduklarını görüyorum. bunu burada, karşı tarafta yaşımın bütün insanları, bütün dünyada benimle birlikte görüyor; benim neslim bunu benimle birlikte yaşıyor. günün birinde karşılarına dikilsek de hesap sorsak, ne derler babalarımız? bir gün gelir de harb biterse bizden ne beklerler? yıllar yılı bizim işimiz öldürmek oldu.. hayatta ilk mesleğimiz bu oldu. hayat namına bildiğimiz şey ölümden ibaret. bundan sonra artık ne olabilir? bizim halimiz nice olacak?""<br/><br/>--- `alıntı` ---<br/><br/>efsane kitap.&#13;
  ","The most striking, most real, opposite against the war and the meaninglessness of war in my life is the war novel that best describes the meaninglessness of war.Really spectacular in every aspect.I didn't expect it to be stunning like that.<br/> <br/> --- `` ``-<br/> <br/> ""I am young, I am twenty years; but on behalf of life, despair, death, fear, a empty surface to challenge the cliffs of the cliffs.I do not know. Nations are pushed against each other, silence, ignorant, docile and innocent I see that they kill each other. The world's smartest heads, weapons and words, I see that they have invented to do these works more skillfully and make them more continuous.All people see all over the world with me; my generation is living with me. If we ask for an account one day, what do they say? One day the war comes from the war and what do they expect from us?it was. Life na",0
"
    --- `spoiler` ---<br/><br/>""bu adamların bizim gibi onsekiz-yirmi yaşında delikanlılar için başka türlü birer kılavuz olmaları gerekirdi. olgunluk dünyası ile, çalışma dünyası, görev, kültür, ilerleme dünyası ile, gelecek ile bizim aramızda birer arabulucu olmaları gerekirdi. gerçi çok zaman onlarla alay eder, onlarla oyunlar filan oynardık, ama aslında onlara güvenimiz vardı. bizim gözümüzde birer yetke örneğiydiler. yetke sahibi olanların da bizlerden daha derin ve keskin kavrayışa sahip, olgun, anlayışlı kimseler olduklarına inanırdık.<br/><br/>oysa tanık olduğumuz ilk ölüm bu inancı kökünden sarstı. bizim kuşağın aslında onların kuşağından daha güvenilmeye layık olduğunu böylece anladık. onlar ancak süslü cümleler kurmak ve kurnazlıkta bizden ileriydiler. işlemiş olduğumuz hatayı lk bombardımanda anladık ve büyüklerimizin bize öğretmiş olduğu dünya, bu bombardımanın altında yıkıldı, gitti.<br/><br/>onlar konuşup nutuk çekerek yazılar yazadursunlar, biz yaralananlarla ölenlerin arasındaydık. onlar vatan borcunun dünyada her şeyden üstün olduğunu söylemişlerdi. oysaki biz can çekişme acısının daha da güçlü olduğunu öğrenmiştik bile!""<br/><br/>--- `spoiler` ---&#13;
  ","--- `spoiler`-<br/> <br/>"" These men should have been a other kind of guidelines for eighteen-eighteen-year-old men like us.They should have been a mediator between us and between us. Though we would make a lot of time with them, play games with them, but in fact we had confidence in them. They were an example of authority in our eyes.We believed.The world he taught us was destroyed under this bombardment, he went. <br/> <br/>",0
"
    okurken bitmesini istemediğim kitap. savaşın insanı yıkan yönü üzerine yazılmış nefis bir eser o kadar sade bir dille yazılmış ki kitabı okurken resmen sizi birinci dünya savaşının batı cephesine götürür.
  ","The book I don't want to end while reading.A delicious work written on the destroying aspect of the war is written in such a simple language that when he reads the book, he officially leads you to the western front of the First World War.",0
"
    barışın değerini bir gram olsun özümsemek, savaşın ne olduğunu ucundan kıyısından hissetmek isteyen her gencin kesinlikle ama kesinlikle okumasının şart olduğu kitaptır. bir alıntı da benden gelsin: <br/><br/>""el bombalarının patlayışını ellerimizde ve kollarımızda hissediyoruz. kediler gibi yere yapışarak koşup duruyoruz. arkamızdan gelen bu dalga bizi önünde sürüklüyor, dehşet dolduruyor içimizi... her birimiz birer haydut, birer cani, allah bilir ne türlü birer ifrit kesiliyoruz. arkamızdan gelen bu dalga içimize korku, delilik ve yaşama hırsı vererek sanki kuvvetimizi yüz misli artırıyor. yalnızca kendi canımızı kurtarmaya bakıyor, yalnızca kendi canımız uğruna dövüşüyoruz. şu anda, gelen düşmanların arasında kendi babanız olsa, hiç gözünüzü kırpmadan üzerine el bombası fırlatırsınız.""&#13;
  ","It is the book that every young person who wants to feel the value of peace is a gram and to feel what the war is from the edge of the end.Let an excerpt come from me: <br/> <br/> ""We feel the explosion of grenades in our hands and arms. We run to the ground like cats.Cani, God knows what kind of ifrit we are cut. This wave from behind us by giving fear, madness and ambition to life as if increasing our strength. Only looking at our own lives, only for our own lives.You throw grenades on it without blinking. ""&#13;",0
"
    kitap okumanın yaşanmışlık kazandırma gibi göz ardı edilemeyecek bir getirisi var.. bu kitapla da birinci dünya savaşı anılarınız oluyor sanki.. bitirince hala hayatınıza devam ettiğinizi görüp, kısa bir süre cepheden dönmüş sevinci yaşayabilirsiniz.. anlatımı o denli başarılı.. efendim kitap savaş karşıtı bir eser olarak değerlendirilemez kanımca, yazar savaşı olduğu gibi anlatmış sadece.. hani hikayedeki silah arkadaşlığından etkilenip orduya yazılanlar da olmuş bir sonraki dünya savaşında.. olduğu gibi derken düşünmeden düşmanı öldürmek de var, bundan pişman olup yaptığını ilerde telafi ederim düşüncesiyle kimliğinden ölenin adını ve adresini öğrenmek de.. ama pek başarılı bu savaş anlatımı aklı başında olan her insan için, olmaz olsun savaşınız, düşüncesini pekiştirir.. zira yazarın da belirttiği gibi savaş bitse de etkisinden çorabını çıkarır gibi kurtulamaz insan..<br/>eser yaşar kemal tarafından 20. yüz yıl'ı en iyi anlatan roman olarak değerlendirilmiş.. hatta o zamanların bir el kitabı olduğu övgüsünde bulunmuş..<br/>efendim, ingilizce'den nihal yeğinobalı çevirisi ve garp cephesinde yeni bir şey yok adıyla engin yayıncılık'tan uygun bir fiyata edinebilirsiniz kitabı.. almanca yazılmış olan bu kitap daha sonra yazar tarafından ingilizce yazılmış mıdır ki kendisi alman vatandaşlığından çıkarıldıktan sonra amerikan vatandaşı olmuş, yoksa ingilizce çevirisinin türkçe çevirisi midir orasını bilmiyorum..&#13;
  ","Reading the book has a return that cannot be ignored, such as gaining experience. With this book, you have memories of the First World War .. When you finish it, you can see that you still continue your life and experience the joy that has returned from the front for a short time .. The narration is so successful .. Sir Book Book Anti -WarIn my opinion, in my opinion, the author has only told the war as it was .. You know that the arms friendship in the story was impressed by the army in the next world war .. As it is, killing the enemy without thinking about it, I regret it and compensate for the future of the name of the deceased name and the name of the deceasedBut it is very successful for every sane person who is in a sane narrative, whether your war, reinforces his thought. Because, as the author points out, even if the war ends, even if the war ends as if he can get rid of his socks .. <br/> Eser Yaşar Kemal by Yaşar KemalThe 20th Hundred Years is considered as the best novel that describes .. even then",0
"
    (bkz: `teoman`)<br/>(bkz: `çoban yıldızı`)<br/>(bkz: `#34182230`)&#13;
  ",(see `teoman`) <br/> (see` shepherd star) <br/>,0
"
    teoman ın çoban yıldızı şarkısını dinleyip köpek öldüren bir şarabı gıdım gıdım içerek okunması gereken bir kitap
  ",a book that should be read by drinking a wine that listened to Teoman's Shepherd Star song and killed a dog.,0
"
    --- `spoiler` ---<br/><br/>paul'un aynı çukarda yüzyüzeyken öldürdüğü bir fransız askerine söylediği sözler:<br/><br/>""'arkadas, ben seni öldürmek istememiştim,' diyorum. 'şimdi yine buraya atlasan ve mantıklı davranacağını bilsem seni vurmazdım. ama şimdiye kadar sen benim için yalnızca bir fikirdin. ben de bu fikre göre davrandım. hançerimi bir fikre sapladım ben.'<br/><br/>'ama şimdi, ilk olarak görüyorum ki sen de benim gibi bir adamsın. önceden hep senin el bombalarını, süngünü, tüfeğini düşünürdüm. şimdi ise aileni düşünüyorum. senin yüzünü görüyor, kardeş olduğumuzu anlıyorum.'""<br/><br/>--- `spoiler` ---<br/><br/>sarsıcı bir eserdir.&#13;
  ","--- `spoiler`-<br/> <br/> Paul's words to a French soldier killed in the same pit: <br/> <br/>"" 'friend, I did not want to kill you,' I say.'Now I wouldn't hit you again if I jumped here and would act logically. But you were only an idea for me. I acted according to this idea.I see that you are a man like me. I always think of your grenades, bayonets, rifles. Now I think of your family. I see your face, I understand that we are brothers.-<br/> <br/> is a shocking work. &#13;",0
"
    aglatir aglatir ve aglatir.bilmiyorum ya da ben cok doluydum.insan ve savas uzerine yazilmis en guzel kitaplardan biri.filmi de cekilmistir entel ortamlarda yayinlarlar cnbc-e gibi.ama bildigim kadariyla turkiyede yasakli gibi olan bir kitap bunu basacak yayinevinin koc tasagi yemesi lazim.
  ",crying and crying.,0
"
    everest yayınlarından çıkan versiyonunda çeviri hiç tat vermiyor. almanca bilmem, çevirmenin tuğla kadar cv'si önünde de boynum kıldan ince fakat bu kitabı daha önce başka yayınevlerinden çıkan versiyonlarından okudum. zaten çok uzun bir kitap değil ve oldukça önemli bir kısmı hafızamda canlı, o yüzden karşılaştırma imkanı bulabiliyorum. <br/><br/>örneğin siyah ve kara, türkçe'de aynı anlama gelir ama ırk açısından insanı tanımlarken kara insan-kara adam demeyiz, siyahtır o (zenci lafı meclisten dışarı) <br/><br/>başka bir örnek; kropp ile himmeltsos arasındaki bir diyolagda kropp kelime oyunu yapıyor fakat kitapta bu konuda bir not olmayınca diyalog anlamsız hale geliyor, halbüse küçük bir dipnotla durum açıklansa okuyucu da tat alır. (gerçi bu çevirmenin kabahati olmayabilir) <br/><br/>böyle çeviri, meviri, ıvır zıvır bir sürü laf ettim ama şunu bu kitapta ilgili en başka söylenmesi gereken şey, gelmiş geçmiş en iyi savaş karşıtı eser olduğudur. çünkü konu, aynı hayatı sürüp, aynı endişeleri taşıyan fransız bir kunduracı ile alman bir çiftçinin birbirini öldürmek zorunda kalmasının manasızlığından ibarettir aslında ve remarque bu manasızlığı mümkün olan en sade haliyle insanın gözüne sokar.&#13;
  ","In the version of Everest publications, translation does not taste at all.I don't know German, as well as the brick of the translator, in front of the CV of my neck, but I read this book from the versions of other publishers.It is not a very long book anyway and a very important part is alive in my memory, so I can find the opportunity to compare.<br/> <br/> For example, black and land means the same meaning in Turkish, but when defining human beings in terms of race, we do not call the black man-black man, it is black (black word out of parliament) <br/> <br/> Another example;In a diyolag between Kropp and Himmeltsos, Kropp makes a word game, but when there is no note in the book, the dialogue becomes meaningless, and if the situation is explained in a small footnote, the reader will taste.(Though this translator may not be the misdemeanor) <br/> <br/> Such translation, meviri, junk, but I have mentioned a lot, but this is the best thing to say in this book is the best anti -war work ever.Because the subject continues the same life, A",0
